id,didok,bpuic,name,short_name
id_8506131,6131,8506131,Kreuzlingen,KR
id_8503414,3414,8503414,Mellikon,MELN
id_8506374,6374,8506374,Sternen bei Teufen,STTF
id_8500080,80,8500080,Talhaus,TALH
id_8500081,81,8500081,Liestal Gräubern,AKT
id_8501090,1090,8501090,Prélionne,PRL
id_8502224,2224,8502224,Affoltern am Albis,AF
id_8503006,3006,8503006,Zürich Oerlikon,ZOER
id_8502229,2229,8502229,Urdorf Weihermatt,URDW
id_8503100,3100,8503100,Zollikon,ZK
id_8503061,3061,8503061,Langwies ZH,LIES
id_8503077,3077,8503077,Spital Zollikerberg,SPIT
id_8504382,4382,8504382,Le Reymond,REYM
id_8506022,6022,8506022,Thalheim-Altikon,TLH
id_8508323,8323,8508323,Sarnen Nord,SRND
id_8503281,3281,8503281,Sattel-Aegeri,SAT
id_8503091,3091,8503091,Zürich Giesshübel,ZGH
id_8501504,1504,8501504,Chamoson-St-Pierre-de-Clages,CHA
id_8503096,3096,8503096,Adliswil,ADW
id_8502187,2187,8502187,Rudolfstetten Hofacker,RUHO
id_8503311,3311,8503311,Rümlang,RUEM
id_8503107,3107,8503107,Stäfa,STAE
id_8530378,30378,8530378,Les Neys,NEYS
id_8503102,3102,8503102,Erlenbach ZH,ERLB
id_8506023,6023,8506023,Ossingen,OSS
id_8503317,3317,8503317,Schöfflisdorf-Oberweningen,SCHO
id_8506354,6354,8506354,Schwendi bei Heiden,SWD
id_8501126,1126,8501126,Rivaz,RIV
id_8508293,8293,8508293,Zell LU,ZELL
id_8503126,3126,8503126,Nänikon-Greifensee,NAEN
id_8501113,1113,8501113,Bavois,BAV
id_8506358,6358,8506358,St. Gallen Spisertor,SPIS
id_8501507,1507,8501507,St-Léonard,SL
id_8501030,1030,8501030,Nyon,NY
id_8593776,93776,8593776,Plan Morier,PLMO
id_8506174,6174,8506174,Matzingen,MATZ
id_8509254,9254,8509254,Punt Muragl,PTM
id_8502030,2030,8502030,Seon,SE
id_8502114,2114,8502114,Rupperswil,RU
id_8509250,9250,8509250,Bever,BEV
id_8500209,209,8500209,Deitingen,DN
id_8500118,118,8500118,Dornach-Arlesheim,DOR
id_8500083,83,8500083,Lampenberg-Ramlinsburg,LGRG
id_8509184,9184,8509184,Bonaduz,BONA
id_8509358,9358,8509358,Cavaglia,CAVA
id_8509185,9185,8509185,Rhäzüns,RHAE
id_8504061,4061,8504061,Remaufens,REMA
id_8507082,7082,8507082,Bern  Europaplatz,BNAH
id_8508057,8057,8508057,Schönbühl RBS,SCBS
id_8510456,10456,8510456,Schmitten GR Landwasserviadukt,SCGR
id_8501664,1664,8501664,Geschinen,GES
id_8509418,9418,8509418,Mühlehorn,MH
id_8508157,8157,8508157,Holzhäusern,HZH
id_8501669,1669,8501669,Blitzingen,BLIZ
id_8504317,4317,8504317,Le Locle-Col-des-Roches,COL
id_8509077,9077,8509077,Davos Monstein,DAM
id_8506217,6217,8506217,Sulgen,SLG
id_8502185,2185,8502185,Bremgarten Isenlauf,BGIS
id_8509264,9264,8509264,Lavin,LAVI
id_8501381,1381,8501381,Vuarennes,VUAR
id_8530800,30800,8530800,Innertkirchen Unterwasser,INUN
id_8501283,1283,8501283,Tusinge,TUS
id_8504024,4024,8504024,Villaz-St-Pierre,VZ
id_8501263,1263,8501263,Château-d'Hauteville,CHTV
id_8501501,1501,8501501,Charrat-Fully,CHAR
id_8501670,1670,8501670,Niederwald,NWAL
id_8502212,2212,8502212,Dottikon-Dintikon,DOT
id_8506134,6134,8506134,Mannenbach-Salenstein,MANN
id_8504011,4011,8504011,Grandvaux,GRV
id_8503227,3227,8503227,Näfels-Mollis,NAEF
id_8502116,2116,8502116,Schinznach Bad,SBAD
id_8509192,9192,8509192,Tiefencastel,TICA
id_8504511,4511,8504511,Boudry Littorail,BLIT
id_8506400,6400,8506400,Sandbüchel,SB
id_8516274,16274,8516274,Chêne-Bourg,CHEB
id_8516271,16271,8516271,Steinach,STCH
id_8506364,6364,8506364,Vögelinsegg,VOEG
id_8503503,3503,8503503,Turgi,TG
id_8503502,3502,8503502,Siggenthal-Würenlingen,SIG
id_8503501,3501,8503501,Döttingen,DOE
id_8500125,125,8500125,Courgenay,CG
id_8500120,120,8500120,Courtételle,CTT
id_8500116,116,8500116,Duggingen,DUG
id_8500114,114,8500114,Zwingen,ZWG
id_8516155,16155,8516155,Lancy-Pont-Rouge,LAPR
id_8506352,6352,8506352,Wartensee,WARS
id_8506350,6350,8506350,Walzenhausen,WALZ
id_8506318,6318,8506318,Rebstein-Marbach,REB
id_8506311,6311,8506311,Rorschach,RS
id_8503340,3340,8503340,Opfikon,OP
id_8503319,3319,8503319,Niederweningen,NW
id_8500038,38,8500038,Basel St. Jakob,BSJA
id_8500033,33,8500033,Rümlingen,RLG
id_8500031,31,8500031,Diepflingen,DIE
id_8500026,26,8500026,Sissach,SIS
id_8500021,21,8500021,Pratteln,PR
id_8503220,3220,8503220,Lachen SZ,LA
id_8503210,3210,8503210,Freienbach SBB,FRB
id_8503200,3200,8503200,Kilchberg ZH,KIL
id_8500010,10,8500010,Basel SBB,BS
id_8506208,6208,8506208,Uzwil,UZW
id_8506205,6205,8506205,Bazenheid,BAZ
id_8503127,3127,8503127,Schwerzenbach ZH,SCWE
id_8503103,3103,8503103,Herrliberg-Feldmeilen,HERL
id_8506123,6123,8506123,Kesswil,KWL
id_8506049,6049,8506049,Dachsen,DA
id_8502306,2306,8502306,Hünenberg Chämleten,HUCH
id_8502225,2225,8502225,Mettmenstetten,MTM
id_8509067,9067,8509067,Klosters Dorf,KLOD
id_8509059,9059,8509059,Grüsch,GRUS
id_8504509,4509,8504509,Neuchâtel Port-de-Serrières,NEPS
id_8505398,5398,8505398,Ponte Tresa,POTR
id_8508219,8219,8508219,Littau,LIT
id_8504229,4229,8504229,Tüscherz,TUE
id_8501385,1385,8501385,Sendy-Sollard,SDY
id_8503233,3233,8503233,Schwanden GL,SCHD
id_8504183,4183,8504183,Pensier,PEN
id_8504385,4385,8504385,La Sagne,SAGN
id_8504384,4384,8504384,La Sagne-Eglise,SAEG
id_8502183,2183,8502183,Oberkulm Post,OKUP
id_8502179,2179,8502179,Mittelmuhen,MMUH
id_8501673,1673,8501673,Lax,LAX
id_8502163,2163,8502163,Oberkulm,OKU
id_8502271,2271,8502271,Wohlen Oberdorf,WOOB
id_8506119,6119,8506119,Kurzrickenbach Seepark,KURZ
id_8503411,3411,8503411,Koblenz Dorf,KBD
id_8506003,6003,8506003,Sennhof-Kyburg,SKY
id_8502043,2043,8502043,Seon Nord,SENO
id_8501400,1400,8501400,Aigle,AIG
id_8501062,1062,8501062,St-Cergue,STCE
id_8501065,1065,8501065,Le Muids,MUI
id_8506044,6044,8506044,Winterthur Töss,WTOE
id_8500187,187,8500187,Vendlincourt,VEND
id_8500192,192,8500192,Le Bémont JU,BEM
id_8507079,7079,8507079,Bern Weissenbühl,BNWE
id_8507272,7272,8507272,Saanenmöser,SAMO
id_8501399,1399,8501399,Gstaad,GST
id_8501672,1672,8501672,Fiesch,FIE
id_8502223,2223,8502223,Hedingen,HED
id_8501688,1688,8501688,Täsch,TAES
id_8501169,1169,8501169,Cheseaux,CHES
id_8501725,1725,8501725,Versmont,VEMO
id_8593772,93772,8593772,Gryon-Chalméry,GRCH
id_8501152,1152,8501152,Le Séchey,SEC
id_8501304,1304,8501304,Roche VD,ROC
id_8501202,1202,8501202,Burier,BURI
id_8502177,2177,8502177,Schöftland Nordweg,SCNW
id_8501103,1103,8501103,Vallorbe,VAL
id_8506270,6270,8506270,St. Gallen Marktplatz,SGMP
id_8501053,1053,8501053,La Vuarpillière,VUAP
id_8501063,1063,8501063,Arzier,ARZ
id_8501461,1461,8501461,Ollon VD,OLLO
id_8506303,6303,8506303,St. Gallen St. Fiden,SGF
id_8501554,1554,8501554,Aigle-Place-du-Marché,AIGM
id_8508103,8103,8508103,Rothrist,RTR
id_8503008,3008,8503008,Zürich Affoltern,ZAF
id_8503128,3128,8503128,Dübendorf,DUE
id_8503063,3063,8503063,Hinteregg,HINT
id_8503066,3066,8503066,Zumikon,ZUM
id_8503068,3068,8503068,Maiacher,MAIF
id_8503004,3004,8503004,Zürich Tiefenbrunnen,ZTB
id_8503053,3053,8503053,Zürich Schweighof,SHF
id_8503003,3003,8503003,Zürich Stadelhofen,ZSTH
id_8500035,35,8500035,Läufelfingen,LF
id_8502121,2121,8502121,Walterswil-Striegel,WAST
id_8506395,6395,8506395,Häggenschwil-Winden,HAEW
id_8503528,3528,8503528,Otelfingen,OF
id_8503306,3306,8503306,Dietlikon,DTL
id_8503307,3307,8503307,Bassersdorf,BSD
id_8500117,117,8500117,Aesch BL,AE
id_8501565,1565,8501565,Finhaut,FIN
id_8503109,3109,8503109,Feldbach,FB
id_8503202,3202,8503202,Thalwil,TW
id_8503124,3124,8503124,Aathal,AAT
id_8502005,2005,8502005,Nebikon,NEB
id_8501576,1576,8501576,Sembrancher,SEMB
id_8505177,5177,8505177,Bugnei,BUGN
id_8501397,1397,8501397,Rougemont,ROU
id_8501099,1099,8501099,L'Isle,ISLE
id_8593773,93773,8593773,Les Bovets,LEBO
id_8501469,1469,8501469,Les Fontanelles,FLLE
id_8501488,1488,8501488,Bévieux,BEVI
id_8507298,7298,8507298,Wimmis,WM
id_8500084,84,8500084,Hölstein,HOE
id_8509357,9357,8509357,Alp Grüm,ALGR
id_8504488,4488,8504488,Riedbach,RCH
id_8507067,7067,8507067,Deisswil,DEI
id_8518808,18808,8518808,Reichenau (Baden),
id_8500175,175,8500175,Le Creux-des-Biches,CREB
id_8500199,199,8500199,Combe-Tabeillon,COTA
id_8506169,6169,8506169,Wiesengrund,WIGR
id_8504131,4131,8504131,Cheyres,CHS
id_8504398,4398,8504398,Neuchâtel Place Pury Littorail,NPLI
id_8506215,6215,8506215,Bischofszell Nord,BZN
id_8503504,3504,8503504,Baden,BD
id_8507095,7095,8507095,Schwarzwasserbrücke,SBR
id_8506212,6212,8506212,Hauptwil,HPT
id_8504205,4205,8504205,Gorgier-St-Aubin,GOR
id_8506185,6185,8506185,Oppikon,OPP
id_8506193,6193,8506193,Kehlhof,KHF
id_8515296,15296,8515296,Brig Bahnhofplatz,BRMG
id_8504182,4182,8504182,Belfaux-Village,BFV
id_8501573,1573,8501573,Martigny-Croix,MACR
id_8502004,2004,8502004,Dagmersellen,DAG
id_8501561,1561,8501561,Vernayaz MC,VEMC
id_8504301,4301,8504301,Frinvillier-Taubenloch,FRIN
id_8504126,4126,8504126,Avenches,AV
id_8504232,4232,8504232,Corcelles-Peseux,CP
id_8508295,8295,8508295,Willisau,WSAU
id_8509155,9155,8509155,Langwies GR,LAWI
id_8501264,1264,8501264,St-Légier-Village,STLV
id_8500102,102,8500102,Malleray-Bévilard,MB
id_8518690,18690,8518690,Niederbipp Industrie,NIIN
id_8509002,9002,8509002,Landquart,LQ
id_8502200,2200,8502200,Ebikon,EBI
id_8501300,1300,8501300,Montreux,MX
id_8500191,191,8500191,Saignelégier,SAIG
id_8506299,6299,8506299,Nesslau-Neu St. Johann,NL
id_8506035,6035,8506035,Schottikon,SCHK
id_8506020,6020,8506020,Seuzach,SEU
id_8506007,6007,8506007,Turbenthal,TU
id_8502122,2122,8502122,Kölliken Oberdorf,KKO
id_8502101,2101,8502101,Kölliken,KK
id_8502034,2034,8502034,Beinwil am See,BW
id_8505007,5007,8505007,Brunnen,BRU
id_8504480,4480,8504480,St-Blaise-Lac,SBLB
id_8509406,9406,8509406,Sevelen,SEV
id_8504222,4222,8504222,St-Blaise CFF,SBL
id_8508212,8212,8508212,Hasle LU,HAS
id_8501002,1002,8501002,Russin,RUS
id_8501000,1000,8501000,Zimeysa,ZIM
